feature,importance
days_since_last_event,53.68226623535156
opened_mean_365d,10.644343376159668
opened_sum_365d,3.8892083168029785
opened_mean_all_time,3.6751492023468018
recency_bucket,3.330570697784424
bounced_sum_180d,3.3036880493164062
clicked_sum_365d,2.9921913146972656
event_count_all_time,2.9869472980499268
opened_sum_all_time,2.727627992630005
send_hour_sum_all_time,2.721574306488037
bounced_sum_all_time,2.433835744857788
send_hour_mean_365d,2.377382755279541
send_hour_max_all_time,2.3696537017822266
send_hour_sum_365d,2.290616512298584
time_to_open_hours_sum_365d,2.247520923614502
bounced_sum_365d,2.236163854598999
dow_sin,2.213472843170166
send_hour_max_180d,2.1517434120178223
time_to_open_hours_sum_all_time,2.1459028720855713
time_to_open_hours_mean_all_time,2.1433656215667725
send_hour_mean_all_time,2.135495185852051
clicked_sum_all_time,2.1130919456481934
send_hour_sum_180d,2.1125357151031494
time_to_open_hours_max_all_time,2.052650213241577
event_count_365d,2.0402581691741943
lifecycle_quadrant,2.0018019676208496
bounced_mean_all_time,1.9568898677825928
clicked_mean_all_time,1.9056750535964966
bounced_mean_365d,1.8631328344345093
time_to_open_hours_sum_180d,1.844172477722168
dow_cos,1.8137974739074707
days_since_first_event,1.7896709442138672
opened_sum_180d,1.7511188983917236
send_hour_max_365d,1.6872055530548096
send_hour_mean_180d,1.4470667839050293
clicked_mean_365d,1.4435555934906006
event_count_180d,1.110352635383606
time_to_open_hours_mean_365d,0.8022873997688293
time_to_open_hours_mean_180d,0.4940408170223236
bounced_mean_180d,0.2985456883907318
